1024, 0.5
2048, 4.1
3072, 19
4096, 48
8192, 480
12288, 1700
16384, 3900
20480, 8900
24576, 17000
28672, 26000
32768, 38000
40960, 180000
49152, 310000
57344, 500000
65536, 740000
